latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-37.785587,176.38554,2,43200,Pacific/Auckland,GMT+12
,,,,,
time,precipitation_sum (mm),temperature_2m_max (ï¿½ï,temperature_2m_min (ï¿½ï,,
1/03/2025,4.3,22.2,15.9,,
2/03/2025,0,25.2,12.6,,
3/03/2025,0,26.2,14.5,,
4/03/2025,4.2,22.8,14.6,,
5/03/2025,0,21,12.7,,
6/03/2025,0,20.5,10.9,,
7/03/2025,0,20.4,9.1,,
8/03/2025,0.4,21.5,9.9,,
9/03/2025,0.2,22.8,13.3,,
10/03/2025,0,23.8,12.4,,
11/03/2025,0,24.9,9.8,,
12/03/2025,0,25.8,14.9,,
13/03/2025,2.1,22.4,15.2,,
14/03/2025,2.7,21.5,12.2,,
15/03/2025,0,23.9,10.6,,
16/03/2025,0,22.2,12.4,,
17/03/2025,2.1,22.4,14.4,,
18/03/2025,5.6,23.4,13.4,,
19/03/2025,3.5,19.1,10.4,,
20/03/2025,0.2,21.9,12.4,,
21/03/2025,0.7,23.7,14.9,,
22/03/2025,0,24.1,12.1,,
23/03/2025,0,23.2,10.8,,
24/03/2025,0,25.7,12.9,,
25/03/2025,1.5,21.9,15.8,,
26/03/2025,0,22.5,13.3,,
27/03/2025,0,23.6,13.9,,
28/03/2025,1.2,23.8,15.1,,
29/03/2025,0.6,21,13,,
30/03/2025,0,21,10.8,,
31/03/2025,0,21,10.5,,
1/04/2025,0.1,21.1,12.5,,
2/04/2025,2.6,20,15.1,,
3/04/2025,6.2,20,17.5,,
4/04/2025,62,20.4,18.4,,
5/04/2025,2.1,22.8,13.6,,
6/04/2025,3.3,19.8,11.6,,
7/04/2025,3,20.8,13.8,,
8/04/2025,1.8,19.6,11.1,,
9/04/2025,0,18.5,8.7,,
10/04/2025,0,18.2,8.9,,
11/04/2025,0.2,19.5,11.1,,
12/04/2025,0,20.8,11.9,,
13/04/2025,0,21.5,12.1,,
14/04/2025,0.4,20.2,12.2,,
15/04/2025,0,21.7,11.9,,
16/04/2025,2.7,19.5,16,,
17/04/2025,25.8,18.9,16.6,,
18/04/2025,47.2,20,18.2,,
19/04/2025,17.8,21.1,18.8,,
20/04/2025,10.2,21.4,18.2,,
21/04/2025,4.8,20.6,16.5,,
22/04/2025,2.2,20.8,14.6,,
23/04/2025,0,19.8,10.9,,
24/04/2025,0,16.8,9.1,,
25/04/2025,0.5,17,10.1,,
26/04/2025,6.9,18.4,14.4,,
27/04/2025,18.1,17.7,15.6,,
28/04/2025,13.6,19.1,16.1,,
29/04/2025,9.3,19.5,15.8,,
30/04/2025,22.3,19.5,17,,
1/05/2025,3.9,18.2,13.5,,
2/05/2025,0.1,17,8.9,,
3/05/2025,0,17.5,10.5,,
4/05/2025,0,16.7,7.7,,
5/05/2025,0,15.4,6.8,,
6/05/2025,0,16.1,6.6,,
7/05/2025,0,17,5.8,,
8/05/2025,14.4,18,8.6,,
9/05/2025,27.2,18.6,16.4,,
