season,kpin,subzone,variety,pack_week,event_date,trays_lost,loss_pct,primary_cause,ccp_triggered,market_block_risk,dm_at_event,mts_pass,financial_impact_nzd
2022/23,100000,Te Puke,Green,11,2023-03-13,35,2.787,COOLSTORE_CCP5,True,False,16.42,True,112.0
2022/23,100000,Te Puke,Green,12,2023-03-20,44,3.7,PEST_CCP3,True,True,16.46,True,140.8
2022/23,100000,Te Puke,Green,13,2023-03-27,29,3.258,MECHANICAL,False,False,17.68,True,92.8
2022/23,100000,Te Puke,Green,14,2023-04-03,46,4.132,COOLSTORE_CCP5,True,False,16.43,True,147.2
2022/23,100000,Te Puke,Green,15,2023-04-10,21,2.597,COOLSTORE_CCP5,True,False,16.22,True,67.2
2022/23,100000,Te Puke,Green,16,2023-04-17,32,2.588,MECHANICAL,False,False,16.64,True,102.4
2022/23,100000,Te Puke,Green,17,2023-04-24,20,2.365,PEST_CCP2,True,False,17.27,True,64.0
2022/23,100000,Te Puke,Green,18,2023-05-01,21,2.677,COOLSTORE_CCP5,True,False,17.34,True,67.2
2022/23,100000,Te Puke,Green,19,2023-05-08,37,2.823,MECHANICAL,False,False,17.05,True,118.4
2022/23,100000,Te Puke,Green,20,2023-05-15,21,2.515,PEST_CCP2,True,False,16.4,True,67.2
2022/23,100001,Te Puke,Green,11,2023-03-13,15,3.44,PEST_CCP2,True,False,16.16,True,48.0
2022/23,100001,Te Puke,Green,12,2023-03-20,11,3.179,COOLSTORE_CCP5,True,False,16.86,True,35.2
2022/23,100001,Te Puke,Green,13,2023-03-27,18,4.41,MECHANICAL,False,False,17.43,True,57.6
2022/23,100001,Te Puke,Green,14,2023-04-03,11,2.697,MECHANICAL,False,False,15.98,True,35.2
2022/23,100001,Te Puke,Green,15,2023-04-10,18,4.194,MECHANICAL,False,False,16.53,True,57.6
2022/23,100001,Te Puke,Green,16,2023-04-17,11,2.858,PEST_CCP3,True,True,17.0,True,35.2
2022/23,100001,Te Puke,Green,17,2023-04-24,15,3.464,MECHANICAL,False,False,16.78,True,48.0
2022/23,100001,Te Puke,Green,18,2023-05-01,11,2.945,MECHANICAL,False,False,17.01,True,35.2
2022/23,100001,Te Puke,Green,19,2023-05-08,16,4.274,MECHANICAL,False,False,16.19,True,51.2
2022/23,100001,Te Puke,Green,20,2023-05-15,16,3.854,WEATHER,False,False,15.66,True,51.2
2022/23,100002,Te Puke,Green,11,2023-03-13,43,2.42,COOLSTORE_CCP5,True,False,16.87,True,137.6
2022/23,100002,Te Puke,Green,12,2023-03-20,55,3.295,MECHANICAL,False,False,17.3,True,176.0
2022/23,100002,Te Puke,Green,13,2023-03-27,72,3.364,PEST_CCP2,True,False,17.24,True,230.4
2022/23,100002,Te Puke,Green,14,2023-04-03,62,3.636,MECHANICAL,False,False,16.49,True,198.4
2022/23,100002,Te Puke,Green,15,2023-04-10,50,2.655,PEST_CCP2,True,False,16.57,True,160.0
2022/23,100002,Te Puke,Green,16,2023-04-17,64,3.373,MECHANICAL,False,False,16.7,True,204.8
2022/23,100002,Te Puke,Green,17,2023-04-24,45,2.41,COOLSTORE_CCP5,True,False,16.7,True,144.0
2022/23,100002,Te Puke,Green,18,2023-05-01,44,3.231,WEATHER,False,False,16.11,True,140.8
2022/23,100002,Te Puke,Green,19,2023-05-08,47,2.577,WEATHER,False,False,16.09,True,150.4
2022/23,100002,Te Puke,Green,20,2023-05-15,58,4.055,MECHANICAL,False,False,16.18,True,185.6
2022/23,100003,Te Puke,SunGold,13,2023-03-27,35,3.492,MECHANICAL,False,False,17.1,True,112.0
2022/23,100003,Te Puke,SunGold,14,2023-04-03,25,3.004,COOLSTORE_CCP5,True,False,16.39,True,80.0
2022/23,100003,Te Puke,SunGold,15,2023-04-10,32,3.06,PEST_CCP2,True,False,17.08,True,102.4
2022/23,100003,Te Puke,SunGold,16,2023-04-17,38,3.432,PEST_CCP2,True,False,16.98,True,121.6
2022/23,100003,Te Puke,SunGold,17,2023-04-24,32,2.915,COOLSTORE_CCP5,True,False,16.16,True,102.4
2022/23,100003,Te Puke,SunGold,18,2023-05-01,36,3.464,MECHANICAL,False,False,17.44,True,115.2
2022/23,100003,Te Puke,SunGold,19,2023-05-08,39,3.273,PEST_CCP3,True,True,17.05,True,124.8
2022/23,100003,Te Puke,SunGold,20,2023-05-15,32,3.197,COOLSTORE_CCP5,True,False,17.03,True,102.4
2022/23,100003,Te Puke,SunGold,21,2023-05-22,39,3.532,MTS_BREACH,False,False,15.95,False,3992.4
2022/23,100003,Te Puke,SunGold,22,2023-05-29,17,2.451,COOLSTORE_CCP5,True,False,16.75,True,54.4
2022/23,100004,Te Puke,Green,11,2023-03-13,86,3.847,COOLSTORE_CCP5,True,False,16.38,True,275.2
2022/23,100004,Te Puke,Green,12,2023-03-20,51,3.364,WEATHER,False,False,15.97,True,163.2
2022/23,100004,Te Puke,Green,13,2023-03-27,54,3.613,PEST_CCP2,True,False,16.97,True,172.8
2022/23,100004,Te Puke,Green,14,2023-04-03,52,3.288,WEATHER,False,False,16.71,True,166.4
2022/23,100004,Te Puke,Green,15,2023-04-10,96,4.563,WEATHER,False,False,16.53,True,307.2
2022/23,100004,Te Puke,Green,16,2023-04-17,48,3.318,WEATHER,False,False,17.2,True,153.6
2022/23,100004,Te Puke,Green,17,2023-04-24,45,2.733,COOLSTORE_CCP5,True,False,16.22,True,144.0
2022/23,100004,Te Puke,Green,18,2023-05-01,69,3.846,COOLSTORE_CCP5,True,False,16.37,True,220.8
2022/23,100004,Te Puke,Green,19,2023-05-08,70,3.364,COOLSTORE_CCP5,True,False,16.4,True,224.0
2022/23,100004,Te Puke,Green,20,2023-05-15,48,3.823,COOLSTORE_CCP5,True,False,16.43,True,153.6
2022/23,100005,Te Puke,SunGold,13,2023-03-27,44,3.398,MECHANICAL,False,False,18.19,True,140.8
2022/23,100005,Te Puke,SunGold,14,2023-04-03,38,2.926,PEST_CCP2,True,False,16.2,True,121.6
2022/23,100005,Te Puke,SunGold,15,2023-04-10,37,3.094,COOLSTORE_CCP5,True,False,17.1,True,118.4
2022/23,100005,Te Puke,SunGold,16,2023-04-17,47,3.637,MECHANICAL,False,False,16.26,True,150.4
2022/23,100005,Te Puke,SunGold,17,2023-04-24,45,2.82,MECHANICAL,False,False,17.7,True,144.0
2022/23,100005,Te Puke,SunGold,18,2023-05-01,41,3.393,MECHANICAL,False,False,16.59,True,131.2
2022/23,100005,Te Puke,SunGold,19,2023-05-08,47,3.833,PEST_CCP2,True,False,16.36,True,150.4
2022/23,100005,Te Puke,SunGold,20,2023-05-15,74,4.769,MECHANICAL,False,False,16.66,True,236.8
2022/23,100005,Te Puke,SunGold,21,2023-05-22,44,4.058,COOLSTORE_CCP5,True,False,16.54,True,140.8
2022/23,100005,Te Puke,SunGold,22,2023-05-29,52,3.433,MECHANICAL,False,False,17.06,True,166.4
2022/23,100006,Te Puke,Green,11,2023-03-13,37,2.954,WEATHER,False,False,16.63,True,118.4
2022/23,100006,Te Puke,Green,12,2023-03-20,65,3.78,MECHANICAL,False,False,17.6,True,208.0
2022/23,100006,Te Puke,Green,13,2023-03-27,48,2.751,WEATHER,False,False,17.13,True,153.6
2022/23,100006,Te Puke,Green,14,2023-04-03,39,3.05,PEST_CCP2,True,False,16.0,True,124.8
2022/23,100006,Te Puke,Green,15,2023-04-10,36,3.541,MECHANICAL,False,False,17.73,True,115.2
2022/23,100006,Te Puke,Green,16,2023-04-17,47,3.455,WEATHER,False,False,17.04,True,150.4
2022/23,100006,Te Puke,Green,17,2023-04-24,35,2.86,COOLSTORE_CCP5,True,False,16.15,True,112.0
2022/23,100006,Te Puke,Green,18,2023-05-01,33,2.127,MECHANICAL,False,False,17.43,True,105.6
2022/23,100006,Te Puke,Green,19,2023-05-08,31,2.952,PEST_CCP3,True,True,16.58,True,99.2
2022/23,100006,Te Puke,Green,20,2023-05-15,50,3.314,PEST_CCP2,True,False,16.9,True,160.0
2022/23,100007,Te Puke,SunGold,13,2023-03-27,95,4.23,PEST_CCP2,True,False,17.02,True,304.0
2022/23,100007,Te Puke,SunGold,14,2023-04-03,88,3.391,PEST_CCP3,True,True,16.91,True,281.6
