kpin,subzone,primary_variety,organic,orchard_ha,distance_port_km,psa_history,base_risk_weight,dm_std_modifier
100000,Te Puke,Green,False,10.8,28,False,0.35,1.0
100001,Te Puke,Green,False,3.9,28,False,0.35,1.0
100002,Te Puke,Green,False,17.7,28,True,0.35,1.0
100003,Te Puke,SunGold,False,9.4,28,False,0.35,1.0
100004,Te Puke,Green,False,18.5,28,False,0.35,1.0
100005,Te Puke,SunGold,False,13.1,28,True,0.35,1.0
100006,Te Puke,Green,False,14.6,28,False,0.35,1.0
100007,Te Puke,SunGold,False,21.4,28,False,0.35,1.0
100008,Te Puke,Green,False,5.9,28,False,0.35,1.0
100009,Te Puke,SunGold,False,5.1,28,False,0.35,1.0
100010,Te Puke,Green,False,21.4,28,False,0.35,1.0
100011,Te Puke,SunGold,False,11.4,28,False,0.35,1.0
100012,Te Puke,SunGold,False,11.5,28,False,0.35,1.0
100013,Te Puke,Green,False,10.7,28,False,0.35,1.0
100014,Te Puke,Green,False,8.2,28,False,0.35,1.0
100015,Te Puke,Green,False,9.7,28,False,0.35,1.0
100016,Te Puke,Green,False,4.8,28,False,0.35,1.0
100017,Te Puke,SunGold,False,17.7,28,False,0.35,1.0
100018,Te Puke,Green,False,17.6,28,False,0.35,1.0
100019,Te Puke,SunGold,False,4.8,28,True,0.35,1.0
100020,Te Puke,Green,False,11.4,28,False,0.35,1.0
100021,Te Puke,Green,False,14.7,28,False,0.35,1.0
100022,Te Puke,SunGold,False,8.1,28,True,0.35,1.0
100023,Te Puke,SunGold,False,6.3,28,False,0.35,1.0
100024,Te Puke,Green,False,6.7,28,True,0.35,1.0
100025,Te Puke,SunGold,False,7.9,28,False,0.35,1.0
100026,Te Puke,SunGold,False,17.7,28,False,0.35,1.0
100027,Te Puke,SunGold,False,18.3,28,True,0.35,1.0
100028,Te Puke,SunGold,False,3.8,28,False,0.35,1.0
100029,Te Puke,SunGold,False,5.2,28,False,0.35,1.0
100030,Te Puke,SunGold,False,15.9,28,False,0.35,1.0
100031,Te Puke,SunGold,False,8.0,28,False,0.35,1.0
100032,Te Puke,SunGold,False,3.8,28,True,0.35,1.0
100033,Te Puke,OrganicGreen,True,20.2,28,False,0.35,1.0
100034,Te Puke,SunGold,False,21.4,28,False,0.35,1.0
100035,Te Puke,Green,False,11.0,28,False,0.35,1.0
100036,Te Puke,SunGold,False,20.1,28,False,0.35,1.0
100037,Te Puke,SunGold,False,8.1,28,False,0.35,1.0
100038,Te Puke,SunGold,False,19.1,28,False,0.35,1.0
100039,Te Puke,Green,False,10.6,28,False,0.35,1.0
100040,Te Puke,SunGold,False,15.0,28,True,0.35,1.0
100041,Te Puke,SunGold,False,2.8,28,False,0.35,1.0
100042,Te Puke,SunGold,False,4.9,28,True,0.35,1.0
100043,Te Puke,SunGold,False,5.4,28,False,0.35,1.0
100044,Te Puke,SunGold,False,8.9,28,False,0.35,1.0
100045,Te Puke,SunGold,False,21.2,28,False,0.35,1.0
100046,Te Puke,Green,False,3.7,28,False,0.35,1.0
100047,Te Puke,SunGold,False,20.8,28,False,0.35,1.0
100048,Te Puke,SunGold,False,7.3,28,False,0.35,1.0
100049,Te Puke,SunGold,False,10.8,28,True,0.35,1.0
100050,Te Puke,Green,False,19.9,28,True,0.35,1.0
100051,Te Puke,SunGold,False,4.2,28,False,0.35,1.0
100052,Te Puke,SunGold,False,15.2,28,False,0.35,1.0
100053,Te Puke,Green,False,4.2,28,False,0.35,1.0
100054,Te Puke,SunGold,False,2.7,28,False,0.35,1.0
100055,Te Puke,SunGold,False,18.6,28,False,0.35,1.0
100056,Te Puke,SunGold,False,21.1,28,False,0.35,1.0
100057,Te Puke,SunGold,False,7.1,28,False,0.35,1.0
100058,Te Puke,SunGold,False,2.9,28,False,0.35,1.0
100059,Te Puke,RubyRed,False,19.8,28,False,0.35,1.0
100060,Te Puke,Green,False,19.9,28,False,0.35,1.0
100061,Te Puke,SunGold,False,17.4,28,False,0.35,1.0
100062,Te Puke,SunGold,False,3.9,28,False,0.35,1.0
100063,Te Puke,SunGold,False,20.7,28,False,0.35,1.0
100064,Te Puke,SunGold,False,18.6,28,True,0.35,1.0
100065,Te Puke,SunGold,False,14.0,28,False,0.35,1.0
100066,Te Puke,SunGold,False,8.2,28,False,0.35,1.0
100067,Te Puke,OrganicGreen,True,12.0,28,True,0.35,1.0
100068,Te Puke,SunGold,False,6.6,28,True,0.35,1.0
100069,Te Puke,Green,False,4.4,28,False,0.35,1.0
100070,Te Puke,Green,False,13.6,28,False,0.35,1.0
100071,Te Puke,Green,False,16.3,28,False,0.35,1.0
100072,Te Puke,SunGold,False,4.5,28,False,0.35,1.0
100073,Te Puke,SunGold,False,8.0,28,False,0.35,1.0
100074,Te Puke,Green,False,21.1,28,False,0.35,1.0
100075,Te Puke,OrganicSunGold,True,2.5,28,False,0.35,1.0
100076,Te Puke,Green,False,4.1,28,True,0.35,1.0
100077,Te Puke,SunGold,False,21.3,28,False,0.35,1.0
100078,Te Puke,OrganicSunGold,True,18.1,28,False,0.35,1.0
100079,Te Puke,Green,False,2.4,28,True,0.35,1.0
100080,Te Puke,Green,False,17.9,28,False,0.35,1.0
100081,Te Puke,SunGold,False,14.1,28,False,0.35,1.0
100082,Te Puke,SunGold,False,10.3,28,False,0.35,1.0
100083,Te Puke,SunGold,False,15.0,28,False,0.35,1.0
100084,Te Puke,SunGold,False,7.0,28,False,0.35,1.0
100085,Te Puke,Green,False,18.3,28,True,0.35,1.0
100086,Te Puke,SunGold,False,13.9,28,True,0.35,1.0
100087,Te Puke,Green,False,8.2,28,True,0.35,1.0
100088,Te Puke,OrganicSunGold,True,5.3,28,False,0.35,1.0
100089,Te Puke,SunGold,False,4.3,28,True,0.35,1.0
