season,kpin,subzone,variety,pack_week,reading_date,dm_pct,mts_threshold,mts_pass,tzg_score,tzg_grade,sample_size,psa_penalty_applied,grower_effect
2022/23,100000,Te Puke,Green,11,2023-03-13,16.42,15.5,True,0.204,C,90,False,-0.165
2022/23,100000,Te Puke,Green,12,2023-03-20,16.46,15.5,True,0.213,C,90,False,-0.165
2022/23,100000,Te Puke,Green,13,2023-03-27,17.68,15.5,True,0.484,B,90,False,-0.165
2022/23,100000,Te Puke,Green,14,2023-04-03,16.43,15.5,True,0.207,C,90,False,-0.165
2022/23,100000,Te Puke,Green,15,2023-04-10,16.22,15.5,True,0.16,D,90,False,-0.165
2022/23,100000,Te Puke,Green,16,2023-04-17,16.64,15.5,True,0.253,C,90,False,-0.165
2022/23,100000,Te Puke,Green,17,2023-04-24,17.27,15.5,True,0.393,C,90,False,-0.165
2022/23,100000,Te Puke,Green,18,2023-05-01,17.34,15.5,True,0.409,B,90,False,-0.165
2022/23,100000,Te Puke,Green,19,2023-05-08,17.05,15.5,True,0.344,C,90,False,-0.165
2022/23,100000,Te Puke,Green,20,2023-05-15,16.4,15.5,True,0.2,C,90,False,-0.165
2022/23,100000,Te Puke,Green,21,2023-05-22,16.1,15.5,True,0.133,D,90,False,-0.165
2022/23,100000,Te Puke,Green,22,2023-05-29,16.41,15.5,True,0.202,C,90,False,-0.165
2022/23,100000,Te Puke,Green,23,2023-06-05,16.36,15.5,True,0.191,D,90,False,-0.165
2022/23,100000,Te Puke,Green,24,2023-06-12,16.03,15.5,True,0.118,D,90,False,-0.165
2022/23,100000,Te Puke,Green,25,2023-06-19,16.25,15.5,True,0.167,D,90,False,-0.165
2022/23,100000,Te Puke,Green,26,2023-06-26,16.29,15.5,True,0.176,D,90,False,-0.165
2022/23,100001,Te Puke,Green,11,2023-03-13,16.16,15.5,True,0.147,D,90,False,-0.289
2022/23,100001,Te Puke,Green,12,2023-03-20,16.86,15.5,True,0.302,C,90,False,-0.289
2022/23,100001,Te Puke,Green,13,2023-03-27,17.43,15.5,True,0.429,B,90,False,-0.289
2022/23,100001,Te Puke,Green,14,2023-04-03,15.98,15.5,True,0.107,D,90,False,-0.289
2022/23,100001,Te Puke,Green,15,2023-04-10,16.53,15.5,True,0.229,C,90,False,-0.289
2022/23,100001,Te Puke,Green,16,2023-04-17,17.0,15.5,True,0.333,C,90,False,-0.289
2022/23,100001,Te Puke,Green,17,2023-04-24,16.78,15.5,True,0.284,C,90,False,-0.289
2022/23,100001,Te Puke,Green,18,2023-05-01,17.01,15.5,True,0.336,C,90,False,-0.289
2022/23,100001,Te Puke,Green,19,2023-05-08,16.19,15.5,True,0.153,D,90,False,-0.289
2022/23,100001,Te Puke,Green,20,2023-05-15,15.66,15.5,True,0.036,D,90,False,-0.289
2022/23,100001,Te Puke,Green,21,2023-05-22,16.88,15.5,True,0.307,C,90,False,-0.289
2022/23,100001,Te Puke,Green,22,2023-05-29,16.13,15.5,True,0.14,D,90,False,-0.289
2022/23,100001,Te Puke,Green,23,2023-06-05,15.23,15.5,False,0.0,F,90,False,-0.289
2022/23,100001,Te Puke,Green,24,2023-06-12,14.85,15.5,False,0.0,F,90,False,-0.289
2022/23,100001,Te Puke,Green,25,2023-06-19,15.65,15.5,True,0.033,D,90,False,-0.289
2022/23,100001,Te Puke,Green,26,2023-06-26,15.79,15.5,True,0.064,D,90,False,-0.289
2022/23,100002,Te Puke,Green,11,2023-03-13,16.87,15.5,True,0.304,C,90,False,-0.241
2022/23,100002,Te Puke,Green,12,2023-03-20,17.3,15.5,True,0.4,B,90,False,-0.241
