fruit_key,kpin,season,subzone,variety,growing_method,pack_week,reading_date,dm_pct,mts_threshold,mts_status,tzg_score,tzg_grade,pest_indicator,maturity_area,sample_size
1,100000,2022/23,Te Puke,Green,conventional,11,2023-03-13,16.42,15.5,PASS,0.204,C,0,100000_11,90
2,100000,2022/23,Te Puke,Green,conventional,12,2023-03-20,16.46,15.5,PASS,0.213,C,0,100000_12,90
3,100000,2022/23,Te Puke,Green,conventional,13,2023-03-27,17.68,15.5,PASS,0.484,B,0,100000_13,90
4,100000,2022/23,Te Puke,Green,conventional,14,2023-04-03,16.43,15.5,PASS,0.207,C,0,100000_14,90
5,100000,2022/23,Te Puke,Green,conventional,15,2023-04-10,16.22,15.5,PASS,0.16,D,0,100000_15,90
6,100000,2022/23,Te Puke,Green,conventional,16,2023-04-17,16.64,15.5,PASS,0.253,C,0,100000_16,90
7,100000,2022/23,Te Puke,Green,conventional,17,2023-04-24,17.27,15.5,PASS,0.393,C,0,100000_17,90
8,100000,2022/23,Te Puke,Green,conventional,18,2023-05-01,17.34,15.5,PASS,0.409,B,0,100000_18,90
9,100000,2022/23,Te Puke,Green,conventional,19,2023-05-08,17.05,15.5,PASS,0.344,C,0,100000_19,90
10,100000,2022/23,Te Puke,Green,conventional,20,2023-05-15,16.4,15.5,PASS,0.2,C,0,100000_20,90
11,100000,2022/23,Te Puke,Green,conventional,21,2023-05-22,16.1,15.5,PASS,0.133,D,0,100000_21,90
12,100000,2022/23,Te Puke,Green,conventional,22,2023-05-29,16.41,15.5,PASS,0.202,C,0,100000_22,90
13,100000,2022/23,Te Puke,Green,conventional,23,2023-06-05,16.36,15.5,PASS,0.191,D,0,100000_23,90
14,100000,2022/23,Te Puke,Green,conventional,24,2023-06-12,16.03,15.5,PASS,0.118,D,0,100000_24,90
15,100000,2022/23,Te Puke,Green,conventional,25,2023-06-19,16.25,15.5,PASS,0.167,D,0,100000_25,90
16,100000,2022/23,Te Puke,Green,conventional,26,2023-06-26,16.29,15.5,PASS,0.176,D,0,100000_26,90
17,100001,2022/23,Te Puke,Green,conventional,11,2023-03-13,16.16,15.5,PASS,0.147,D,0,100001_11,90
18,100001,2022/23,Te Puke,Green,conventional,12,2023-03-20,16.86,15.5,PASS,0.302,C,0,100001_12,90
19,100001,2022/23,Te Puke,Green,conventional,13,2023-03-27,17.43,15.5,PASS,0.429,B,0,100001_13,90
20,100001,2022/23,Te Puke,Green,conventional,14,2023-04-03,15.98,15.5,PASS,0.107,D,0,100001_14,90
21,100001,2022/23,Te Puke,Green,conventional,15,2023-04-10,16.53,15.5,PASS,0.229,C,0,100001_15,90
22,100001,2022/23,Te Puke,Green,conventional,16,2023-04-17,17.0,15.5,PASS,0.333,C,0,100001_16,90
23,100001,2022/23,Te Puke,Green,conventional,17,2023-04-24,16.78,15.5,PASS,0.284,C,0,100001_17,90
24,100001,2022/23,Te Puke,Green,conventional,18,2023-05-01,17.01,15.5,PASS,0.336,C,0,100001_18,90
25,100001,2022/23,Te Puke,Green,conventional,19,2023-05-08,16.19,15.5,PASS,0.153,D,0,100001_19,90
26,100001,2022/23,Te Puke,Green,conventional,20,2023-05-15,15.66,15.5,PASS,0.036,D,0,100001_20,90
27,100001,2022/23,Te Puke,Green,conventional,21,2023-05-22,16.88,15.5,PASS,0.307,C,0,100001_21,90
28,100001,2022/23,Te Puke,Green,conventional,22,2023-05-29,16.13,15.5,PASS,0.14,D,0,100001_22,90
29,100001,2022/23,Te Puke,Green,conventional,23,2023-06-05,15.23,15.5,FAIL,0.0,F,0,100001_23,90
30,100001,2022/23,Te Puke,Green,conventional,24,2023-06-12,14.85,15.5,FAIL,0.0,F,0,100001_24,90
31,100001,2022/23,Te Puke,Green,conventional,25,2023-06-19,15.65,15.5,PASS,0.033,D,0,100001_25,90
32,100001,2022/23,Te Puke,Green,conventional,26,2023-06-26,15.79,15.5,PASS,0.064,D,0,100001_26,90
33,100002,2022/23,Te Puke,Green,conventional,11,2023-03-13,16.87,15.5,PASS,0.304,C,0,100002_11,90
34,100002,2022/23,Te Puke,Green,conventional,12,2023-03-20,17.3,15.5,PASS,0.4,B,0,100002_12,90
35,100002,2022/23,Te Puke,Green,conventional,13,2023-03-27,17.24,15.5,PASS,0.387,C,0,100002_13,90
36,100002,2022/23,Te Puke,Green,conventional,14,2023-04-03,16.49,15.5,PASS,0.22,C,0,100002_14,90
37,100002,2022/23,Te Puke,Green,conventional,15,2023-04-10,16.57,15.5,PASS,0.238,C,0,100002_15,90
38,100002,2022/23,Te Puke,Green,conventional,16,2023-04-17,16.7,15.5,PASS,0.267,C,0,100002_16,90
39,100002,2022/23,Te Puke,Green,conventional,17,2023-04-24,16.7,15.5,PASS,0.267,C,0,100002_17,90
40,100002,2022/23,Te Puke,Green,conventional,18,2023-05-01,16.11,15.5,PASS,0.136,D,0,100002_18,90
41,100002,2022/23,Te Puke,Green,conventional,19,2023-05-08,16.09,15.5,PASS,0.131,D,0,100002_19,90
42,100002,2022/23,Te Puke,Green,conventional,20,2023-05-15,16.18,15.5,PASS,0.151,D,0,100002_20,90
43,100002,2022/23,Te Puke,Green,conventional,21,2023-05-22,16.09,15.5,PASS,0.131,D,0,100002_21,90
44,100002,2022/23,Te Puke,Green,conventional,22,2023-05-29,15.91,15.5,PASS,0.091,D,0,100002_22,90
45,100002,2022/23,Te Puke,Green,conventional,23,2023-06-05,16.88,15.5,PASS,0.307,C,0,100002_23,90
46,100002,2022/23,Te Puke,Green,conventional,24,2023-06-12,16.77,15.5,PASS,0.282,C,0,100002_24,90
47,100002,2022/23,Te Puke,Green,conventional,25,2023-06-19,15.8,15.5,PASS,0.067,D,0,100002_25,90
48,100002,2022/23,Te Puke,Green,conventional,26,2023-06-26,15.5,15.5,PASS,0.0,D,0,100002_26,90
49,100003,2022/23,Te Puke,SunGold,conventional,11,2023-03-13,17.39,16.1,PASS,0.284,C,0,100003_11,90
50,100003,2022/23,Te Puke,SunGold,conventional,12,2023-03-20,16.69,16.1,PASS,0.13,D,0,100003_12,90
