export_id,date_key,corridor_key,fruit_key,grower_key,season,subzone,variety,pack_week,season_phase,trays_submitted,trays_exported,trays_lost,loss_pct,dm_pct_avg,tzg_score,mts_pass,submit_payment_nzd,taste_payment_nzd,total_return_nzd,freight_cost_nzd,margin_erosion_pct,otif_pct,risk_score,congestion_index,rainfall_mm_7d,reg_index,vol_index
1,20230313,1,1,1,2022/23,Te Puke,Green,11,KiwiStart,1277,1242,35,2.787,16.42,0.204,True,3511.75,240.7,3752.45,462.08,29.19,88.63,24,91.8,28.0,15.0,95
2,20230320,1,2,1,2022/23,Te Puke,Green,12,KiwiStart,1197,1153,44,3.7,16.46,0.213,True,3291.75,233.31,3525.06,428.97,29.04,88.63,23,91.8,28.0,15.0,95
3,20230327,1,3,1,2022/23,Te Puke,Green,13,KiwiStart,899,870,29,3.258,17.68,0.484,True,2472.25,400.03,2872.28,323.68,23.01,88.63,20,91.8,28.0,15.0,95
4,20230403,1,4,1,2022/23,Te Puke,Green,14,MainPack,1134,1088,46,4.132,16.43,0.207,True,3118.5,213.96,3332.46,404.78,29.19,88.46,24,91.8,32.0,15.0,95
5,20230410,1,5,1,2022/23,Te Puke,Green,15,MainPack,839,818,21,2.597,16.22,0.16,True,2307.25,124.34,2431.59,304.33,30.16,88.46,26,91.8,32.0,15.0,95
6,20230417,1,6,1,2022/23,Te Puke,Green,16,MainPack,1269,1237,32,2.588,16.64,0.253,True,3489.75,297.31,3787.06,460.22,28.09,88.46,23,91.8,32.0,15.0,95
7,20230424,1,7,1,2022/23,Te Puke,Green,17,MainPack,874,854,20,2.365,17.27,0.393,True,2403.5,318.84,2722.34,317.73,24.94,88.87,20,91.8,22.0,15.0,95
8,20230501,1,8,1,2022/23,Te Puke,Green,18,MainPack,796,775,21,2.677,17.34,0.409,True,2029.8,301.13,2330.93,288.33,29.44,88.87,20,91.8,22.0,15.0,95
9,20230508,1,9,1,2022/23,Te Puke,Green,19,MainPack,1322,1285,37,2.823,17.05,0.344,True,3635.5,419.94,4055.44,478.08,26.08,88.87,20,91.8,22.0,15.0,95
10,20230515,1,10,1,2022/23,Te Puke,Green,20,MainPack,850,829,21,2.515,16.4,0.2,True,2337.5,157.51,2495.01,308.43,29.27,89.02,23,91.8,18.0,15.0,95
11,20230313,1,17,2,2022/23,Te Puke,Green,11,KiwiStart,450,435,15,3.44,16.16,0.147,True,1237.5,60.75,1298.25,161.84,30.48,88.63,26,91.8,28.0,15.0,95
12,20230320,1,18,2,2022/23,Te Puke,Green,12,KiwiStart,369,358,11,3.179,16.86,0.302,True,1014.75,102.71,1117.46,133.19,27.03,88.63,21,91.8,28.0,15.0,95
13,20230327,1,19,2,2022/23,Te Puke,Green,13,KiwiStart,427,409,18,4.41,17.43,0.429,True,1174.25,166.69,1340.94,152.17,24.33,88.63,20,91.8,28.0,15.0,95
14,20230403,1,20,2,2022/23,Te Puke,Green,14,MainPack,418,407,11,2.697,15.98,0.107,True,1149.5,41.37,1190.87,151.42,31.35,88.46,29,91.8,32.0,15.0,95
