region,unnamed:_1,kiwifruit,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6,unnamed:_7,unnamed:_8,unnamed:_9,unnamed:_10
,,2022,2024,% change,,,,,,
,,(Hectares),,,,,,,,
Northland                  ,,520,600,13.8,,,,,,
Auckland                   ,,710,570,-20.1,,,,,,
Waikato                    ,,680,960,41.3,,,,,,
Bay of Plenty              ,,"11,250","10,890",-3.3,,,,,,
Gisborne                   ,,570,590,2.4,,,,,,
Hawke's Bay                 ,,150,110,-27.3,,,,,,
Taranaki                   ,,20,S,S,,,,,,
Manawatū-Whanganui,,120,210,75.3,,,,,,
Wellington                 ,,70,90,20,,,,,,
Total North Island,,"14,100","14,010",-0.6,,,,,,
Tasman                ,,390,420,6.6,,,,,,
Nelson,,S,S,S,,,,,,
Marlborough             ,,S,-,S,,,,,,
West Coast                 ,,-,-,-,,,,,,
Canterbury                 ,,70,40,-42.9,,,,,,
Otago                      ,,S,-,S,,,,,,
Southland                  ,,S,S,S,,,,,,
Chatham Islands,,-,-,-,,,,,,
Total South Island,,580,500,-13.8,,,,,,
Total New Zealand,,"14,690","14,510",-1.2,,,,,,
1,2022 was an agricultural production census year; 2024 was an agricultural production survey year.,,,,,,,,,
2,Figures may not add to the totals due to rounding.,,,,,,,,,
3,Estimates have been rounded to the nearest 10 hectares.,,,,,,,,,
4,Percentage changes are calculated on unrounded numbers.,,,,,,,,,
Symbols:,,,,,,,,,,
S,suppressed,,,,,,,,,
-,nil or zero,,,,,,,,,
Source: Stats NZ,,,,,,,,,,
